budget,loss,training_loss
5808,0.8852122724056244,0.8290090893607798
11616,0.929050862789154,0.7407835474159495
17424,0.901711493730545,0.6038967189065401
23232,0.8915817961096764,0.579761325789199
29040,0.8888111889362336,0.5737110233921949
34848,0.897201269865036,0.5705218069347502
40656,0.9028038893427167,0.5681046386662427
46464,0.9064412973821163,0.5546709938912258
52272,0.9057330787181854,0.554413981143941
58080,0.9104705840349198,0.5551457277555574
63888,0.9233870018612255,0.5560286019603344
69696,0.9130457441012064,0.556547991460163
75504,0.9213173068486727,0.5492050839833102
81312,0.9169795236417225,0.5498119898536027
87120,0.9133363246917725,0.5507264875470705
92928,0.9131409786641598,0.5512030405222983
98736,0.9155669001971974,0.5467069256947009
104544,0.9139731344249513,0.5462405301095367
110352,0.9205933401459142,0.5481425916341554
116160,0.9225939780473709,0.548468842700275
