budget,loss,training_loss
2904,0.9087705016136169,0.8961884673014503
5808,0.6780676394701004,0.6748217970702299
8712,0.6535991132259369,0.610063302217939
11616,0.6111481860280037,0.6142433850128655
14520,0.609619814157486,0.5761650653188444
17424,0.6112624804178873,0.5869815501931537
20328,0.6200288193566459,0.5966671756426033
23232,0.6284300982952118,0.5987313619414999
26136,0.6382570399178399,0.6038477132114453
29040,0.6534903258085251,0.6072224767840638
31944,0.6504443721337752,0.609687351892518
34848,0.6574186533689499,0.6112152825979565
37752,0.6597669537250812,0.61340563435676
40656,0.6641306408814022,0.5999340486596338
43560,0.6654500822226207,0.6029584089733719
46464,0.6729523409157991,0.6041163721296794
49368,0.6692580159972695,0.6063708729641154
52272,0.6753135737445619,0.6086706774705072
55176,0.6747982094162389,0.6097311471003829
58080,0.6741308450698853,0.6103377460819984
