budget,loss,training_loss
2904,0.6527829170227051,0.8238973167441939
5808,0.5126592367887497,0.6218416865464229
8712,0.4968136250972748,0.5951224847604301
11616,0.5068736262619495,0.6045504588985917
14520,0.513781851530075,0.5713660222630835
17424,0.5235568955540657,0.5767184956993223
20328,0.5305058509111404,0.5859128846905971
23232,0.5312355551868677,0.5925505873916717
26136,0.5345208065377341,0.5959206372105998
29040,0.5374792069196701,0.5990504346737245
31944,0.5387069691311229,0.6023054486201178
34848,0.543653010080258,0.6053592617908887
37752,0.5451278377037782,0.6072881499206046
40656,0.5497846539531436,0.5937532594543882
43560,0.5464442898829778,0.596170812811248
46464,0.5489532509818673,0.5982995702764342
49368,0.5519171961966682,0.600289869712001
52272,0.5510581773188379,0.6021187571923604
55176,0.5532828859592739,0.6043263267812434
58080,0.5520716018974781,0.6053095370991153
