budget,loss,training_loss
2904.0,1.1157166957855225,0.43927254123492454
6388.799999999999,0.5313031673431396,0.7070909210157204
10570.56,2.1021416187286377,0.6254532982787724
15588.671999999999,1.2207542657852173,0.6979860894408598
21610.4064,0.5061337947845459,0.7404267414544543
28836.48768,1.0089203119277954,0.7060096017245588
37507.785216,1.6489639282226562,0.7007846555172094
47913.34225919999,0.7594767808914185,0.7355155043624805
60400.010711039984,0.575608491897583,0.6942917419640616
75384.01285324799,0.7348775267601013,0.709309803095604
93364.81542389758,0.662100076675415,0.7363703300947348
114941.77850867709,1.4287053346633911,0.7208835484196513
140834.1342104125,0.7068982720375061,0.7157405530011997
171904.961052495,0.9449337124824524,0.7379691713528834
209189.95326299398,1.1427314281463623,0.7270920206387241
253931.94391559277,0.9851446747779846,0.7050966256131058
307622.3326987113,1.2720746994018555,0.720212600225578
372050.79923845356,0.476030170917511,0.7380565230662153
449364.9590861442,0.786963701248169,0.7313894577102305
542141.9509033731,0.5026863217353821,0.7462674024744208
