budget,loss,training_loss
2904,1.0835837721824646,0.801881928007863
5808,0.6917501986026764,0.6513042909324549
8712,0.515042245388031,0.6170727304439898
11616,0.497013870626688,0.6228837751432833
14520,0.49446672201156616,0.5892431656253776
17424,0.4950896029671033,0.6010627833449788
20328,0.4963082415716989,0.6059000788825293
23232,0.49547056294977665,0.6124181579877319
26136,0.49530694550938076,0.6174499001065905
29040,0.4970811128616333,0.6203403562104621
31944,0.49533403461629694,0.6230935348228391
34848,0.49687603240211803,0.6259128917273369
37752,0.4981451699366936,0.6285594099614449
40656,0.49649639214788166,0.6152367976028472
43560,0.5001347541809082,0.6178729727167632
46464,0.4989409791305661,0.6197439320943373
49368,0.4992538217236014,0.6220314787588556
52272,0.49749596003029084,0.6234226352552921
55176,0.502038626294387,0.6253513816977382
58080,0.49823965355753896,0.6266891036189032
