budget,loss,training_loss
2904.0,1.0084681510925293,1.9213056564331055
6388.799999999999,1.7982159852981567,2.018651095303622
10570.56,1.432812213897705,1.9665118419762813
15588.671999999999,0.843132734298706,1.9216134331443093
21610.4064,1.6361377239227295,1.946692755728057
28836.48768,0.8917494416236877,2.0436531124692974
37507.785216,0.6704586744308472,1.8374308672818271
47913.34225919999,1.1897534132003784,1.9916563323049834
60400.010711039984,1.199668049812317,1.8264732938824277
75384.01285324799,1.1726601123809814,1.807743419300426
93364.81542389758,1.6536134481430054,1.9646718285300515
114941.77850867709,1.453075885772705,1.905801079489968
140834.1342104125,0.9958735108375549,1.901095419219046
171904.961052495,1.8374024629592896,1.8551520145300664
209189.95326299398,1.2359933853149414,1.6714666828964695
253931.94391559277,2.2986137866973877,1.785256934888435
307622.3326987113,2.356374740600586,1.9032257253473455
372050.79923845356,0.7018395066261292,1.9719142624826143
449364.9590861442,1.8416601419448853,1.9330435088186553
542141.9509033731,1.0580120086669922,1.931314757376006
