budget,loss,training_loss
1089,0.7900410294532776,0.8786791028792075
2178,0.627433717250824,0.7608099417252974
3267,0.48031142354011536,0.6678204864483208
4356,0.44232672452926636,0.7975141890804657
5445,0.4878426790237427,0.6066667652833081
6534,0.36233389377593994,0.6988011355482097
7623,0.43233853578567505,0.7267649402196635
8712,0.45951104164123535,0.6810393028821641
9801,0.4745243191719055,0.8927928434835898
10890,0.5645028352737427,0.7072734305548141
11979,0.41671112179756165,0.7006480301334466
13068,0.5470753908157349,0.7096590808334163
14157,0.768013060092926,0.703593026800882
15246,1.228021264076233,0.6746010346846147
16335,1.3192187547683716,0.6635960255559598
17424,0.6180466413497925,0.7138260752328783
18513,1.0601950883865356,0.6589119205896626
19602,1.1425877809524536,0.6438512766976321
20691,0.592105507850647,0.6962585507798253
21780,0.8400914669036865,0.6360994510041408
