budget,loss,training_loss
2904,0.7698380053043365,0.8296180263733091
5808,0.4939322769641876,1.1558604536961625
8712,0.49291407068570453,1.0920372273122356
11616,0.49181755259633064,1.0773937463147834
14520,0.49116709232330324,1.095869083776905
17424,0.4901033366719882,1.0825552731359736
20328,0.49016718353543964,1.07552164539231
23232,0.4896483048796654,1.0831429097619072
26136,0.48845864997969735,1.0775603072683546
29040,0.48968330919742586,1.0740381229266402
31944,0.4897535362026908,1.0695372709316464
34848,0.4889734300474326,1.067334057914818
37752,0.4896148122273959,1.0651531690422247
40656,0.4916732226099287,1.0703784551563884
43560,0.48837422331174213,1.0676135704601513
46464,0.4896614206954837,1.0659447214041196
49368,0.4889523299301372,1.0697117307291202
52272,0.489694491856628,1.0675848568274628
55176,0.4901555039380726,1.065483733660356
58080,0.49302964061498644,1.0641135038440568
