budget,loss,training_loss
5808.0,0.8450438678264618,0.6148807197638704
12777.599999999999,0.835172563791275,1.157094050764725
21141.12,0.8546513915061951,1.1264532880364202
31177.343999999997,0.8521309867501259,1.113177074568524
43220.8128,0.860972112417221,1.1100197302719272
57672.97536,0.861655538280805,1.1106411130520544
75015.570432,0.8645071727888924,1.1057785436903007
95826.68451839998,0.8667296580970287,1.1063385604596252
120800.02142207997,0.8721346391571893,1.1045018762580987
150768.02570649597,0.8823690116405487,1.105910608925735
